Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,regulation of autophagy of mitochondrion (GO:1903146),2/19,0.047213308387063,0.7034417422741066,0,0,6.28754608110274,19.19637784922356,VDAC1;DNM1L
GO_Biological_Process_2021,endoplasmic reticulum organization (GO:0007029),4/73,0.0459647059865991,0.7034417422741066,0,0,3.1069287274171136,9.56897211722517,REEP1;VAPB;LMAN2;DNM1L
GO_Biological_Process_2021,mitochondrion organization (GO:0007005),7/175,0.0440386536722427,0.7034417422741066,0,0,2.240216390423573,6.995495805161145,MTX1;PHB;SLIRP;DNM1L;MFF;PHB2;GDAP1
GO_Biological_Process_2021,mitochondrial fusion (GO:0008053),2/18,0.0427536524234901,0.7034417422741066,0,0,6.680858310626703,21.06007399810004,MFF;GDAP1
GO_Biological_Process_2021,release of cytochrome c from mitochondria (GO:0001836),2/18,0.0427536524234901,0.7034417422741066,0,0,6.680858310626703,21.06007399810004,MFF;DNM1L
GO_Biological_Process_2021,positive chemotaxis (GO:0050918),2/18,0.0427536524234901,0.7034417422741066,0,0,6.680858310626703,21.06007399810004,GPNMB;TSC2
GO_Biological_Process_2021,phosphatidylinositol-mediated signaling (GO:0048015),4/71,0.0422028420567611,0.7034417422741066,0,0,3.2,10.128856681252117,PLCH1;PLCD3;PLCD4;PLCD1
GO_Biological_Process_2021,fatty acid catabolic process (GO:0009062),4/70,0.0403898645816192,0.7034417422741066,0,0,3.2486508924865087,10.42549378309665,MECR;BDH2;PCCA;PCCB
GO_Biological_Process_2021,aerobic electron transport chain (GO:0019646),4/70,0.0403898645816192,0.7034417422741066,0,0,3.2486508924865087,10.42549378309665,SDHA;COX5B;COX6C;COX5A
GO_Biological_Process_2021,monoamine transport (GO:0015844),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,PICK1
GO_Biological_Process_2021,water homeostasis (GO:0030104),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,AQP1
GO_Biological_Process_2021,postsynapse organization (GO:0099173),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,PICK1
GO_Biological_Process_2021,mitophagy (GO:0000423),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,PHB2
GO_Biological_Process_2021,tubulin complex assembly (GO:0007021),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,TBCD
GO_Biological_Process_2021,methionine metabolic process (GO:0006555),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,SMS
GO_Biological_Process_2021,synaptic vesicle budding (GO:0070142),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,AP3D1
GO_Biological_Process_2021,leukocyte aggregation (GO:0070486),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,JAM2
GO_Biological_Process_2021,positive regulation of membrane invagination (GO:1905155),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,ANO6
GO_Biological_Process_2021,RNA secondary structure unwinding (GO:0010501),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,DHX9
GO_Biological_Process_2021,positive regulation of isomerase activity (GO:0010912),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,DHX9
GO_Biological_Process_2021,positive regulation of intracellular steroid hormone receptor signaling pathway (GO:0033145),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,PAK1
GO_Biological_Process_2021,positive regulation of defense response to bacterium (GO:1900426),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,GRN
GO_Biological_Process_2021,fructose metabolic process (GO:0006000),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,ALDOA
GO_Biological_Process_2021,positive regulation of cell migration by vascular endothelial growth factor signaling pathway (GO:0038089),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,HSPB1
GO_Biological_Process_2021,positive regulation of aspartic-type peptidase activity (GO:1905247),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,GRN
GO_Biological_Process_2021,RNA interference (GO:0016246),2/17,0.0384629506323367,0.7034417422741066,0,0,7.1266121707538606,23.21892878232492,DHX9;TSN
GO_Biological_Process_2021,positive regulation of production of molecular mediator of immune response (GO:0002702),3/38,0.0326483583461709,0.7034417422741066,0,0,4.589227166276347,15.704155028793428,STX4;PHB;PHB2
GO_Biological_Process_2021,anterograde axonal transport (GO:0008089),3/37,0.0304758492112818,0.7034417422741066,0,0,4.724445515911283,16.49219238329431,AP3M2;AP3D1;HSPB1
GO_Biological_Process_2021,synaptic vesicle transport along microtubule (GO:0099517),2/15,0.0304201943469206,0.7034417422741066,0,0,8.223852441836094,28.72302674541276,AP3M2;AP3D1
